competencia,setor,admissoes,desligamentos,saldo
202101,Agropecuária,8,5,3
202101,Indústria,140,124,16
202101,Construção,26,26,0
202101,Comércio,86,93,-7
202101,Serviços,151,112,39
202101,Total,411,360,51
202102,Agropecuária,5,6,-1
202102,Indústria,184,123,61
202102,Construção,19,26,-7
202102,Comércio,106,102,4
202102,Serviços,157,128,29
202102,Total,471,385,86
202103,Agropecuária,20,12,8
202103,Indústria,165,120,45
202103,Construção,24,24,0
202103,Comércio,107,106,1
202103,Serviços,148,144,4
202103,Total,464,406,58
202104,Agropecuária,13,6,7
202104,Indústria,179,166,13
202104,Construção,28,26,2
202104,Comércio,94,95,-1
202104,Serviços,160,121,39
202104,Total,474,414,60
202105,Agropecuária,4,12,-8
202105,Indústria,132,167,-35
202105,Construção,30,34,-4
202105,Comércio,102,83,19
202105,Serviços,183,171,12
202105,Total,451,467,-16
202106,Agropecuária,12,19,-7
202106,Indústria,141,111,30
202106,Construção,21,25,-4
202106,Comércio,123,68,55
202106,Serviços,166,112,54
202106,Total,463,335,128
202107,Agropecuária,10,9,1
202107,Indústria,168,114,54
202107,Construção,29,28,1
202107,Comércio,93,105,-12
202107,Serviços,150,146,4
202107,Total,450,402,48
202108,Agropecuária,7,12,-5
202108,Indústria,132,131,1
202108,Construção,32,22,10
202108,Comércio,119,136,-17
202108,Serviços,166,123,43
202108,Total,456,424,32
202109,Agropecuária,8,11,-3
202109,Indústria,152,130,22
202109,Construção,38,28,10
202109,Comércio,117,97,20
202109,Serviços,191,145,46
202109,Total,506,411,95
202110,Agropecuária,7,5,2
202110,Indústria,140,112,28
202110,Construção,32,29,3
202110,Comércio,135,110,25
202110,Serviços,183,156,27
202110,Total,497,412,85
202111,Agropecuária,10,5,5
202111,Indústria,145,107,38
202111,Construção,26,21,5
202111,Comércio,128,105,23
202111,Serviços,180,163,17
202111,Total,489,401,88
202112,Agropecuária,10,10,0
202112,Indústria,81,142,-61
202112,Construção,29,18,11
202112,Comércio,97,103,-6
202112,Serviços,175,178,-3
202112,Total,392,451,-59
202201,Agropecuária,4,8,-4
202201,Indústria,137,133,4
202201,Construção,23,24,-1
202201,Comércio,102,101,1
202201,Serviços,214,157,57
202201,Total,480,423,57
202202,Agropecuária,9,9,0
202202,Indústria,262,171,91
202202,Construção,43,26,17
202202,Comércio,134,144,-10
202202,Serviços,220,167,53
202202,Total,668,517,151
202203,Agropecuária,7,7,0
202203,Indústria,183,167,16
202203,Construção,30,39,-9
202203,Comércio,192,181,11
202203,Serviços,195,161,34
202203,Total,607,555,52
202204,Agropecuária,13,6,7
202204,Indústria,154,151,3
202204,Construção,31,29,2
202204,Comércio,118,128,-10
202204,Serviços,168,179,-11
202204,Total,484,493,-9
202205,Agropecuária,9,12,-3
202205,Indústria,184,163,21
202205,Construção,37,33,4
202205,Comércio,135,114,21
202205,Serviços,202,165,37
202205,Total,567,487,80
202206,Agropecuária,7,6,1
202206,Indústria,135,155,-20
202206,Construção,22,31,-9
202206,Comércio,111,122,-11
202206,Serviços,215,176,39
202206,Total,490,490,0
202207,Agropecuária,7,12,-5
202207,Indústria,182,131,51
202207,Construção,35,31,4
202207,Comércio,141,109,32
202207,Serviços,166,176,-10
202207,Total,531,459,72
202208,Agropecuária,9,9,0
202208,Indústria,146,141,5
202208,Construção,20,41,-21
202208,Comércio,131,133,-2
202208,Serviços,195,202,-7
202208,Total,501,526,-25
202209,Agropecuária,7,6,1
202209,Indústria,130,151,-21
202209,Construção,17,18,-1
202209,Comércio,119,123,-4
202209,Serviços,170,136,34
202209,Total,443,434,9
202210,Agropecuária,3,5,-2
202210,Indústria,116,129,-13
202210,Construção,18,19,-1
202210,Comércio,134,106,28
202210,Serviços,179,157,22
202210,Total,450,416,34
202211,Agropecuária,14,9,5
202211,Indústria,110,114,-4
202211,Construção,17,21,-4
202211,Comércio,102,91,11
202211,Serviços,185,149,36
202211,Total,428,384,44
202212,Agropecuária,8,4,4
202212,Indústria,87,132,-45
202212,Construção,10,20,-10
202212,Comércio,90,117,-27
202212,Serviços,121,194,-73
202212,Total,316,467,-151
202301,Agropecuária,5,8,-3
202301,Indústria,153,153,0
202301,Construção,18,22,-4
202301,Comércio,108,118,-10
202301,Serviços,271,185,86
202301,Total,555,486,69
202302,Agropecuária,17,14,3
202302,Indústria,196,145,51
202302,Construção,29,26,3
202302,Comércio,104,110,-6
202302,Serviços,261,180,81
202302,Total,607,475,132
202303,Agropecuária,10,11,-1
202303,Indústria,172,178,-6
202303,Construção,41,35,6
202303,Comércio,167,127,40
202303,Serviços,299,240,59
202303,Total,689,591,98
202304,Agropecuária,9,9,0
202304,Indústria,140,139,1
202304,Construção,44,30,14
202304,Comércio,120,119,1
202304,Serviços,253,197,56
202304,Total,566,494,72
202305,Agropecuária,0,0,0
202305,Indústria,0,1,-1
202305,Construção,0,0,0
202305,Comércio,1,1,0
202305,Serviços,0,0,0
202305,Total,1,2,-1
202306,Agropecuária,4,1,3
202306,Indústria,0,1,-1
202306,Construção,0,0,0
202306,Comércio,0,0,0
202306,Serviços,0,1,-1
202306,Total,4,3,1
202307,Agropecuária,0,0,0
202307,Indústria,1,3,-2
202307,Construção,1,0,1
202307,Comércio,1,11,-10
202307,Serviços,0,0,0
202307,Total,3,14,-11
202308,Agropecuária,0,0,0
202308,Indústria,0,1,-1
202308,Construção,1,1,0
202308,Comércio,0,1,-1
202308,Serviços,0,0,0
202308,Total,1,3,-2
202309,Agropecuária,0,0,0
202309,Indústria,1,0,1
202309,Construção,0,0,0
202309,Comércio,1,0,1
202309,Serviços,0,2,-2
202309,Total,2,2,0
202310,Agropecuária,0,1,-1
202310,Indústria,0,1,-1
202310,Construção,0,0,0
202310,Comércio,0,0,0
202310,Serviços,0,0,0
202310,Total,0,2,-2
202311,Agropecuária,0,0,0
202311,Indústria,0,0,0
202311,Construção,0,2,-2
202311,Comércio,1,0,1
202311,Serviços,1,0,1
202311,Total,2,2,0
202312,Agropecuária,0,0,0
202312,Indústria,0,0,0
202312,Construção,1,0,1
202312,Comércio,0,0,0
202312,Serviços,1,1,0
202312,Total,2,1,1
202401,Agropecuária,0,0,0
202401,Indústria,0,0,0
202401,Construção,0,0,0
202401,Comércio,1,2,-1
202401,Serviços,1,0,1
202401,Total,2,2,0
202402,Agropecuária,7,12,-5
202402,Indústria,211,173,38
202402,Construção,41,48,-7
202402,Comércio,154,143,11
202402,Serviços,307,281,26
202402,Total,720,657,63
202403,Agropecuária,10,8,2
202403,Indústria,202,185,17
202403,Construção,39,25,14
202403,Comércio,160,144,16
202403,Serviços,285,233,52
202403,Total,696,595,101
202404,Agropecuária,13,8,5
202404,Indústria,202,164,38
202404,Construção,52,33,19
202404,Comércio,144,121,23
202404,Serviços,275,225,50
202404,Total,686,551,135
202405,Agropecuária,8,14,-6
202405,Indústria,99,243,-144
202405,Construção,23,45,-22
202405,Comércio,77,152,-75
202405,Serviços,119,250,-131
202405,Total,326,704,-378
202406,Agropecuária,12,10,2
202406,Indústria,151,203,-52
202406,Construção,24,27,-3
202406,Comércio,130,120,10
202406,Serviços,190,234,-44
202406,Total,507,594,-87
202407,Agropecuária,5,11,-6
202407,Indústria,199,168,31
202407,Construção,28,23,5
202407,Comércio,137,127,10
202407,Serviços,230,227,3
202407,Total,599,556,43
202408,Agropecuária,6,17,-11
202408,Indústria,179,217,-38
202408,Construção,45,36,9
202408,Comércio,163,121,42
202408,Serviços,271,221,50
202408,Total,664,612,52
202409,Agropecuária,9,7,2
202409,Indústria,189,184,5
202409,Construção,43,31,12
202409,Comércio,107,107,0
202409,Serviços,212,198,14
202409,Total,560,527,33
202410,Agropecuária,11,8,3
202410,Indústria,178,162,16
202410,Construção,33,28,5
202410,Comércio,119,113,6
202410,Serviços,271,214,57
202410,Total,612,525,87
202411,Agropecuária,12,4,8
202411,Indústria,130,139,-9
202411,Construção,19,34,-15
202411,Comércio,115,119,-4
202411,Serviços,181,214,-33
202411,Total,457,510,-53
202412,Agropecuária,8,10,-2
202412,Indústria,83,156,-73
202412,Construção,10,23,-13
202412,Comércio,119,108,11
202412,Serviços,152,232,-80
202412,Total,372,529,-157
202501,Agropecuária,10,9,1
202501,Indústria,212,183,29
202501,Construção,28,25,3
202501,Comércio,143,145,-2
202501,Serviços,262,226,36
202501,Total,655,588,67
202502,Agropecuária,8,14,-6
202502,Indústria,288,162,126
202502,Construção,36,26,10
202502,Comércio,155,118,37
202502,Serviços,314,262,52
202502,Total,801,582,219
202503,Agropecuária,11,11,0
202503,Indústria,217,187,30
202503,Construção,58,42,16
202503,Comércio,139,144,-5
202503,Serviços,240,236,4
202503,Total,665,620,45
202504,Agropecuária,13,9,4
202504,Indústria,241,200,41
202504,Construção,37,70,-33
202504,Comércio,159,144,15
202504,Serviços,259,249,10
202504,Total,709,672,37
202505,Agropecuária,11,5,6
202505,Indústria,177,207,-30
202505,Construção,30,57,-27
202505,Comércio,133,118,15
202505,Serviços,212,306,-94
202505,Total,563,693,-130
202506,Agropecuária,3,11,-8
202506,Indústria,172,165,7
202506,Construção,33,39,-6
202506,Comércio,117,104,13
202506,Serviços,148,207,-59
202506,Total,473,526,-53
202507,Agropecuária,9,7,2
202507,Indústria,174,204,-30
202507,Construção,26,35,-9
202507,Comércio,153,124,29
202507,Serviços,214,213,1
202507,Total,576,583,-7
202508,Agropecuária,11,10,1
202508,Indústria,158,190,-32
202508,Construção,34,30,4
202508,Comércio,137,164,-27
202508,Serviços,193,206,-13
202508,Total,533,600,-67
202509,Agropecuária,7,11,-4
202509,Indústria,157,151,6
202509,Construção,25,37,-12
202509,Comércio,160,149,11
202509,Serviços,247,213,34
202509,Total,596,561,35
202510,Agropecuária,8,12,-4
202510,Indústria,171,145,26
202510,Construção,48,39,9
202510,Comércio,161,154,7
202510,Serviços,243,222,21
202510,Total,631,572,59
202511,Agropecuária,3,11,-8
202511,Indústria,123,158,-35
202511,Construção,19,23,-4
202511,Comércio,151,135,16
202511,Serviços,185,169,16
202511,Total,481,496,-15
202512,Agropecuária,8,5,3
202512,Indústria,77,170,-93
202512,Construção,11,32,-21
202512,Comércio,111,128,-17
202512,Serviços,159,207,-48
202512,Total,366,542,-176
202601,Agropecuária,4,6,-2
202601,Indústria,198,171,27
202601,Construção,38,33,5
202601,Comércio,128,137,-9
202601,Serviços,229,208,21
202601,Total,597,555,42
202602,Agropecuária,12,11,1
202602,Indústria,207,174,33
202602,Construção,45,32,13
202602,Comércio,126,130,-4
202602,Serviços,230,236,-6
202602,Total,620,583,37
202603,Agropecuária,12,12,0
202603,Indústria,228,190,38
202603,Construção,39,28,11
202603,Comércio,144,151,-7
202603,Serviços,266,252,14
202603,Total,689,633,56
202604,Agropecuária,13,6,7
202604,Indústria,201,182,19
202604,Construção,38,36,2
202604,Comércio,136,176,-40
202604,Serviços,219,209,10
202604,Total,607,609,-2
202605,Agropecuária,9,7,2
202605,Indústria,230,182,48
202605,Construção,41,36,5
202605,Comércio,114,127,-13
202605,Serviços,242,211,31
202605,Total,636,563,73
202606,Agropecuária,4,10,-6
202606,Indústria,216,184,32
202606,Construção,38,30,8
202606,Comércio,103,104,-1
202606,Serviços,236,217,19
202606,Total,597,545,52
202607,Agropecuária,13,16,-3
202607,Indústria,213,215,-2
202607,Construção,30,31,-1
202607,Comércio,139,120,19
202607,Serviços,243,212,31
202607,Total,638,594,44
